Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
NO2,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,21453913,Literature,PubMed,,
NO2,Air Quality,very preterm birth,Positive,Reproductive Health,Health Outcome,,21453913,Literature,PubMed,,
ambient temperature,Weather,heart rate variability,Negative,Cardiovascular Health,Health Outcome,,21385834,Literature,PubMed,,
CO,Air Quality,preeclampsia (adjusted for maternal characteristics and season of conception),Positive,Pregnancy Outcomes,Health Outcome,,21262595,Literature,PubMed,,
CO,Air Quality,preeclampsia (further adjusted for year of conception),Null,Pregnancy Outcomes,Health Outcome,,21262595,Literature,PubMed,,
PM2.5,Air Quality,preeclampsia,Null,Pregnancy Outcomes,Health Outcome,,21262595,Literature,PubMed,,
CO,Air Quality,preterm birth,Null,Pregnancy Outcomes,Health Outcome,,21262595,Literature,PubMed,,
PM2.5,Air Quality,preterm birth,Null,Pregnancy Outcomes,Health Outcome,,21262595,Literature,PubMed,,
PM2.5,Air Quality,Young's modulus (YM),Null,Cardiovascular Health,Health Outcome,,21245016,Literature,PubMed,,
PM2.5,Air Quality,large artery vessel compliance (C1),Null,Cardiovascular Health,Health Outcome,,21245016,Literature,PubMed,,
PM2.5,Air Quality,small artery vessel compliance (C2),Null,Cardiovascular Health,Health Outcome,,21245016,Literature,PubMed,,
PM2.5,Air Quality,incident type 2 diabetes,Null,Metabolic Health,Health Outcome,,21118784,Literature,PubMed,,
PM2.5,Air Quality,exhaled nitric oxide fraction (F(eNO)),Positive,Respiratory Health,Health Outcome,Exhaled breath,20947676,Literature,PubMed,,
O3,Air Quality,exhaled nitric oxide fraction (F(eNO)),Positive,Respiratory Health,Health Outcome,Exhaled breath,20947676,Literature,PubMed,,
ambient temperature,Weather,C-reactive protein,Negative,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,soluble Intercellular Adhesion Molecule-1,Negative,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,soluble Vascular Cell Adhesion Molecule-1,Negative,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,white blood cell count,Null,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,tumor necrosis factor alpha,Null,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,interleukin-1beta,Null,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,interleukin-6,Null,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
ambient temperature,Weather,interleukin-8,Null,Cardiovascular Health,Health Outcome,Blood,20653951,Literature,PubMed,,
NO2,Air Quality,wheeze,Positive,Respiratory Health,Health Outcome,,20570778,Literature,PubMed,,
temperature,Air Quality,respiratory disturbance index (RDI),Positive,Sleep Health;Cardiovascular Health,Health Outcome,,20508218,Literature,PubMed,,
ambient NO2,Air Quality,new-onset asthma,Positive,Respiratory Health,Health Outcome,,20371422,Literature,PubMed,,
ambient NO2,Air Quality,new-onset asthma (adjusted for modeled traffic exposures),Null,Respiratory Health,Health Outcome,,20371422,Literature,PubMed,,
PM2.5,Air Quality,birth weight,Negative,Pediatric Health,Health Outcome,,20134157,Literature,PubMed,,
NO2,Air Quality,asthma diagnosis,Positive,Respiratory Health,Health Outcome,,20123607,Literature,PubMed,,
CO,Air Quality,asthma diagnosis,Positive,Respiratory Health,Health Outcome,,20123607,Literature,PubMed,,
black carbon,Air Quality,asthma diagnosis,Positive,Respiratory Health,Health Outcome,,20123607,Literature,PubMed,,
PM2.5,Air Quality,cardiopulmonary disease mortality,Positive,Cardiovascular Health;Respiratory Health;Mortality,Health Outcome,,20064787,Literature,PubMed,,
PM2.5,Air Quality,mortality from all nontraumatic causes,Positive,Cardiovascular Health;Respiratory Health;Mortality,Health Outcome,,20064787,Literature,PubMed,,
PM2.5,Air Quality,ischemic heart disease (IHD) mortality,Positive,Cardiovascular Health;Respiratory Health;Mortality,Health Outcome,,20064787,Literature,PubMed,,
PM2.5,Air Quality,pulmonary disease mortality,Positive,Cardiovascular Health;Respiratory Health;Mortality,Health Outcome,,20064787,Literature,PubMed,,
O3,Air Quality,agreement between interview-based and birth certificate-based exposure measurements,Positive,Maternal and Child Health,Health Outcome,,19963212,Literature,PubMed,,
PM2.5,Air Quality,wheeze,Null,Respiratory Health,Health Outcome,,19745205,Literature,PubMed,,
PM2.5,Air Quality,cough,Null,Respiratory Health,Health Outcome,,19745205,Literature,PubMed,,
CO,Air Quality,low birth weight,Positive,Birth Outcomes,Health Outcome,,19704374,Literature,PubMed,,
PM2.5,Air Quality,mortality from ischemic heart disease (IHD),Positive,Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,19627030,Literature,PubMed,,
NO2,Air Quality,mortality from ischemic heart disease (IHD),Positive,Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,19627030,Literature,PubMed,,
PM2.5,Air Quality,"mortality from all causes, cardiopulmonary disease (CPD), and lung cancer",Null,Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,19627030,Literature,PubMed,,
PM2.5,Air Quality,mortality from ischemic heart disease (IHD),Positive,Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,19627030,Literature,PubMed,,
NO2,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,19478670,Literature,PubMed,,
PM2.5 sulfate,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,19478670,Literature,PubMed,,
PM2.5 water-soluble metal,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,19478670,Literature,PubMed,,
O3,Air Quality,death from respiratory causes,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,19279340,Literature,PubMed,,
O3,Air Quality,death from cardiovascular causes,Null,Respiratory Health;Cardiovascular Health,Health Outcome,,19279340,Literature,PubMed,,
PM2.5,Air Quality,death from cardiovascular causes,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,19279340,Literature,PubMed,,
PM2.5,Air Quality,death from cardiopulmonary causes,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,19279340,Literature,PubMed,,
O3,Air Quality,death from cardiopulmonary causes,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,19279340,Literature,PubMed,,
indoor PM2.5-10,Air Quality,asthma symptoms,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5,Air Quality,asthma symptoms,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5-10,Air Quality,symptoms causing children to slow down,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5,Air Quality,symptoms causing children to slow down,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5-10,Air Quality,nocturnal symptoms,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5,Air Quality,nocturnal symptoms,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5-10,Air Quality,wheezing that limited speech,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5,Air Quality,wheezing that limited speech,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5-10,Air Quality,use of rescue medication,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5,Air Quality,use of rescue medication,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
indoor PM2.5,Air Quality,exercise-related symptoms,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
ambient PM2.5,Air Quality,exercise-related symptoms,Positive,Respiratory Health;Asthma Morbidity,Health Outcome,,19270802,Literature,PubMed,,
PM2.5,Air Quality,sperm motility,Negative,Reproductive Health,Health Outcome,Semen,19258486,Literature,PubMed,,
PM2.5,Air Quality,Sperm motility,Negative,Reproductive Health,Health Outcome,Semen,19217100,Literature,PubMed,,
O3,Air Quality,asthma hospital admissions,Positive,Respiratory Health,Health Outcome,,19079727,Literature,PubMed,,
PM2.5,Air Quality,mortality in the eastern region,Positive,Mortality,Health Outcome,,19079710,Literature,PubMed,,
PM2.5,Air Quality,mortality in the central region,Positive,Mortality,Health Outcome,,19079710,Literature,PubMed,,
PM2.5,Air Quality,mortality in the western region,Null,Mortality,Health Outcome,,19079710,Literature,PubMed,,
PM2.5,Air Quality,mortality for persons >= 85 years of age,Null,Mortality,Health Outcome,,19079710,Literature,PubMed,,
black carbon,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,18941574,Literature,PubMed,,
black carbon,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,18941574,Literature,PubMed,,
black carbon,Air Quality,forced mid-expiratory flow rate,Negative,Respiratory Health,Health Outcome,,18941574,Literature,PubMed,,
NO2,Air Quality,Urinary 1-hydroxypyrene (1-OHP),Positive,Environmental Health,Health Outcome,Urine,18804258,Literature,PubMed,,
NO2,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,18520616,Literature,PubMed,,
NO2,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,18520616,Literature,PubMed,,
CO,Air Quality,FEV1/FVC,Negative,Respiratory Health,Health Outcome,,18520616,Literature,PubMed,,
CO,Air Quality,forced expiratory flow between 25% and 75% of FVC (FEF25-75)/FVC,Negative,Respiratory Health,Health Outcome,,18520616,Literature,PubMed,,
CO,Air Quality,forced expiratory flow at 25% of FVC,Negative,Respiratory Health,Health Outcome,,18520616,Literature,PubMed,,
CO,Air Quality,forced expiratory flow between 25% and 75% of FVC (FEF25-75),Negative,Respiratory Health,Health Outcome,,18520616,Literature,PubMed,,
PM2.5,Air Quality,ischemic stroke/TIA risk,Null,Cerebrovascular Disease;Neurological Health,Health Outcome,,18508356,Literature,PubMed,,
PM2.5,Air Quality,ischemic stroke/TIA risk,Positive,Cerebrovascular Disease;Neurological Health,Health Outcome,,18508356,Literature,PubMed,,
O3,Air Quality,ischemic stroke/TIA risk,Null,Cerebrovascular Disease;Neurological Health,Health Outcome,,18508356,Literature,PubMed,,
O3,Air Quality,ischemic stroke/TIA risk,Null,Cerebrovascular Disease;Neurological Health,Health Outcome,,18508356,Literature,PubMed,,
PM2.5,Air Quality,verbal fluency,Negative,Neurological Health;Cognitive Health,Health Outcome,,36970897,Literature,PubMed,,
PM2.5,Air Quality,executive function,Negative,Neurological Health;Cognitive Health,Health Outcome,,36970897,Literature,PubMed,,
PM2.5,Air Quality,processing speed,Null,Neurological Health;Cognitive Health,Health Outcome,,36970897,Literature,PubMed,,
NO2,Air Quality,episodic memory,Negative,Neurological Health;Cognitive Health,Health Outcome,,36970897,Literature,PubMed,,
PM2.5,Air Quality,total cholesterol,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
PM2.5,Air Quality,von Willebrand factor (vWF),Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
PM2.5,Air Quality,tissue plasminogen activator,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
PM2.5,Air Quality,D-dimer,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
PM2.5,Air Quality,very-low frequency HRV,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
O3,Air Quality,total cholesterol,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
O3,Air Quality,high-density lipoprotein,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
O3,Air Quality,serum amyloid A,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
O3,Air Quality,soluble intracellular adhesion molecule 1,Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
O3,Air Quality,von Willebrand factor (vWF),Positive,Cardiovascular Health,Health Outcome,Blood,35139860,Literature,PubMed,,
residential greenness,Built Environment,preterm birth,Negative,Reproductive Health,Health Outcome,,33130859,Literature,PubMed,,
residential greenness,Built Environment,birthweight,Positive,Reproductive Health,Health Outcome,,33130859,Literature,PubMed,,
residential greenness,Built Environment,preterm birth,Null,Reproductive Health,Health Outcome,,33130859,Literature,PubMed,,
residential greenness,Built Environment,birthweight,Null,Reproductive Health,Health Outcome,,33130859,Literature,PubMed,,
greenness,Built Environment,arrests for weapon-related violent crime,Null,Violent Crime,Health Outcome,,32862085,Literature,PubMed,,
surrounding greenness,Built Environment,percentage of the population that were immigrants,Negative,Health Disparities,Health Outcome,,31978731,Literature,PubMed,,
surrounding greenness,Built Environment,percentage of the population that were immigrants from Latin America,Negative,Health Disparities,Health Outcome,,31978731,Literature,PubMed,,
surrounding greenness,Built Environment,percentage of the population that were immigrants from Europe,Positive,Health Disparities,Health Outcome,,31978731,Literature,PubMed,,
ambient temperature,Weather,infant mortality,Positive,Infant Mortality,Health Outcome,,31855483,Literature,PubMed,,
Perceived greenness,Built Environment,Moderate-vigorous physical activity,Positive,Physical Activity,Health Outcome,,31561482,Literature,PubMed,,
greenness,Built Environment,Lyme disease,Positive,Infectious Disease,Health Outcome,,31465993,Literature,PubMed,,
NDVI greenness,Built Environment,income rank,Positive,Socioeconomic Status,Health Outcome,,31202477,Literature,PubMed,,
NDVI greenness,Built Environment,future earnings,Positive,Socioeconomic Status,Health Outcome,,31202477,Literature,PubMed,,
greenness,Built Environment,moderate-to-vigorous physical activity (MVPA),Positive,Physical Activity,Health Outcome,,31199713,Literature,PubMed,,
greenness,Built Environment,light-to-vigorous physical activity (LVPA),Positive,Physical Activity,Health Outcome,,31199713,Literature,PubMed,,
walkability index,Built Environment,moderate-to-vigorous physical activity (MVPA),Negative,Physical Activity,Health Outcome,,31199713,Literature,PubMed,,
walkability index,Built Environment,light-to-vigorous physical activity (LVPA),Negative,Physical Activity,Health Outcome,,31199713,Literature,PubMed,,
Neighbourhood greenness,Built Environment,depression diagnosis,Negative,Mental Health,Health Outcome,,31190652,Literature,PubMed,,
residential greenness,Built Environment,low birth weight,Negative,Reproductive Health,Health Outcome,,31112849,Literature,PubMed,,
residential greenness,Built Environment,low birth weight,Negative,Reproductive Health,Health Outcome,,31112849,Literature,PubMed,,
greenness,Built Environment,infant mortality,Negative,Infant Mortality,Health Outcome,,30993542,Literature,PubMed,,
PM2.5,Air Quality,Cardiovascular mortality,Positive,Cardiovascular Health,Health Outcome,,30845676,Literature,PubMed,,
greenness,Built Environment,acute myocardial infarction,Negative,Cardiovascular Health,Health Outcome,,30835593,Literature,PubMed,,
greenness,Built Environment,ischemic heart disease,Negative,Cardiovascular Health,Health Outcome,,30835593,Literature,PubMed,,
greenness,Built Environment,heart failure,Negative,Cardiovascular Health,Health Outcome,,30835593,Literature,PubMed,,
greenness,Built Environment,atrial fibrillation,Negative,Cardiovascular Health,Health Outcome,,30835593,Literature,PubMed,,
residential greenness,Built Environment,depression,Negative,Mental Health,Health Outcome,,30735068,Literature,PubMed,,
Residential surrounding greenness (100 m),Built Environment,lifetime wheezing,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
Residential surrounding greenness (100 m),Built Environment,lifetime asthma among children with current ETS exposure,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
Residential surrounding greenness (250 m),Built Environment,lifetime asthma among children with current ETS exposure,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
Residential surrounding greenness (500 m),Built Environment,lifetime asthma among children with current ETS exposure,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
Residential surrounding greenness (100 m),Built Environment,current dry cough at night among children with perinatal ETS exposure,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
Residential surrounding greenness (250 m),Built Environment,current dry cough at night among children with perinatal ETS exposure,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
Residential surrounding greenness (500 m),Built Environment,current dry cough at night among children with perinatal ETS exposure,Negative,Respiratory Health,Health Outcome,,30557617,Literature,PubMed,,
PM2.5,Other,gestational diabetes mellitus,Positive,Maternal Health;Pregnancy Complications,Health Outcome,,30248831,Literature,PubMed,,
PM2.5,Other,preeclampsia,Null,Maternal Health;Pregnancy Complications,Health Outcome,,30248831,Literature,PubMed,,
Normalized Difference Vegetation Index greenness,Built Environment,obesity,Null,Obesity;Mental Health,Health Outcome,,30037037,Literature,PubMed,,
residential greenness,Built Environment,birthweight,Positive,Perinatal Health,Health Outcome,,29895795,Literature,PubMed,,
residential greenness,Built Environment,term low birth weight,Negative,Perinatal Health,Health Outcome,,29895795,Literature,PubMed,,
residential greenness,Built Environment,small for gestational age,Negative,Perinatal Health,Health Outcome,,29895795,Literature,PubMed,,
greenness,Other,childhood obesity,Null,Obesity,Health Outcome,,29883903,Literature,PubMed,,
greenness,Built Environment,"Perceived stress (contemporaneous, base model)",Negative,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,"Perceived stress (contemporaneous, multivariable model)",Negative,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,Perceived stress (summer),Negative,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,Perceived stress (annual average),Negative,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,Anxiety symptoms,Null,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,depressive symptoms,Null,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,Perceived stress mediated by physical activity,Negative,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,Perceived stress mediated by history of respiratory diseases,Positive,Mental Health,Health Outcome,,29661194,Literature,PubMed,,
greenness,Built Environment,Alzheimer's disease,Negative,Mental Health;Neurological Health,Health Outcome,,29494513,Literature,PubMed,,
greenness,Built Environment,depression,Negative,Mental Health;Neurological Health,Health Outcome,,29494513,Literature,PubMed,,
greenness,Built Environment,high depressive symptoms,Negative,Mental Health,Health Outcome,,29426730,Literature,PubMed,,
greenness,Built Environment,high depressive symptoms,Negative,Mental Health,Health Outcome,,29273301,Literature,PubMed,,
greenness,Built Environment,obesity,Negative,Obesity;Physical Activity,Health Outcome,,29059619,Literature,PubMed,,
greenness,Built Environment,physical activity,Positive,Obesity;Physical Activity,Health Outcome,,29059619,Literature,PubMed,,
greenness,Built Environment,obesity mediated by physical activity,Negative,Obesity;Physical Activity,Health Outcome,,29059619,Literature,PubMed,,
neighborhood walkability,Other,self-reported BMI,Negative,Obesity,Health Outcome,,28767514,Literature,PubMed,,
PM2.5,Other,self-reported BMI,Null,Obesity,Health Outcome,,28767514,Literature,PubMed,,
greenness (Normalized Difference Vegetation Index (NDVI)),Other,chronic absenteeism rates,Negative,Academic Performance,Health Outcome,,28230752,Literature,PubMed,,
fine particulate matter air pollution (PM2.5),Other,chronic absenteeism rates,Positive,Academic Performance,Health Outcome,,28230752,Literature,PubMed,,
residential greenness,Built Environment,term birth weight,Positive,Birth Outcomes,Health Outcome,,28103842,Literature,PubMed,,
residential greenness,Built Environment,adverse birth outcomes,Null,Birth Outcomes,Health Outcome,,28103842,Literature,PubMed,,
residential greenness,Built Environment,preterm birth,Null,Reproductive Health;Pediatric Health,Health Outcome,,27743971,Literature,PubMed,,
residential greenness,Built Environment,small for gestational age,Null,Reproductive Health;Pediatric Health,Health Outcome,,27743971,Literature,PubMed,,
residential greenness,Built Environment,term birth weight,Positive,Reproductive Health;Pediatric Health,Health Outcome,,27743971,Literature,PubMed,,
greenness,Built Environment,all-cause nonaccidental mortality,Negative,Mortality;Respiratory Health;Oncology,Health Outcome,,27074702,Literature,PubMed,,
greenness,Built Environment,respiratory mortality,Negative,Mortality;Respiratory Health;Oncology,Health Outcome,,27074702,Literature,PubMed,,
greenness,Built Environment,cancer mortality,Negative,Mortality;Respiratory Health;Oncology,Health Outcome,,27074702,Literature,PubMed,,
greenness,Built Environment,chronic medical conditions,Negative,Cardiometabolic Health;Chronic Health Conditions,Health Outcome,,27061891,Literature,PubMed,,
greenness,Built Environment,diabetes,Negative,Cardiometabolic Health;Chronic Health Conditions,Health Outcome,,27061891,Literature,PubMed,,
greenness,Built Environment,hypertension,Negative,Cardiometabolic Health;Chronic Health Conditions,Health Outcome,,27061891,Literature,PubMed,,
greenness,Built Environment,hyperlipidemia,Negative,Cardiometabolic Health;Chronic Health Conditions,Health Outcome,,27061891,Literature,PubMed,,
greenness,Built Environment,preterm birth in cities,Negative,Reproductive Health,Health Outcome,,26978381,Literature,PubMed,,
greenness,Built Environment,small for gestational age birth in cities,Negative,Reproductive Health,Health Outcome,,26978381,Literature,PubMed,,
greenness,Built Environment,birth weight in cities,Null,Reproductive Health,Health Outcome,,26978381,Literature,PubMed,,
greenness,Built Environment,Apgar score in cities,Null,Reproductive Health,Health Outcome,,26978381,Literature,PubMed,,
greenness,Built Environment,birth outcomes in boroughs or townships,Null,Reproductive Health,Health Outcome,,26978381,Literature,PubMed,,
PM2.5,Air Quality,survival,Negative,Mortality,Health Outcome,,26600257,Literature,PubMed,,
PM2.5,Air Quality,survival in Southeastern US,Negative,Mortality,Health Outcome,,26600257,Literature,PubMed,,
PM2.5,Air Quality,survival in South US,Negative,Mortality,Health Outcome,,26600257,Literature,PubMed,,
PM2.5,Air Quality,survival in Northwestern US,Negative,Mortality,Health Outcome,,26600257,Literature,PubMed,,
heat waves,Weather,mortality in black (non-Hispanic) individuals,Positive,Mortality,Health Outcome,,25782056,Literature,PubMed,,
heat waves,Weather,mortality at home,Positive,Mortality,Health Outcome,,25782056,Literature,PubMed,,
heat waves,Weather,mortality in census tracts with greater public assistance,Positive,Mortality,Health Outcome,,25782056,Literature,PubMed,,
daytime summer surface temperature,Weather,mortality during heat waves,Positive,Mortality,Health Outcome,,25782056,Literature,PubMed,,
school walkability,Built Environment,BMI,Negative,Pediatric Health;Obesity,Health Outcome,,25656299,Literature,PubMed,,
home walkability,Built Environment,BMI,Positive,Pediatric Health;Obesity,Health Outcome,,25656299,Literature,PubMed,,
extreme heat,Weather,cardiovascular mortality among non-married individuals,Positive,Cardiovascular Health;Respiratory Health,Health Outcome,,25460667,Literature,PubMed,,
extreme heat,Weather,cardiovascular mortality among married individuals,Null,Cardiovascular Health;Respiratory Health,Health Outcome,,25460667,Literature,PubMed,,
extreme heat,Weather,cardiovascular mortality in ZIP codes with high (91%) non-green space,Positive,Cardiovascular Health;Respiratory Health,Health Outcome,,25460667,Literature,PubMed,,
extreme heat,Weather,cardiovascular mortality in ZIP codes with low (39%) non-green space,Null,Cardiovascular Health;Respiratory Health,Health Outcome,,25460667,Literature,PubMed,,
extreme heat,Weather,respiratory mortality,Null,Cardiovascular Health;Respiratory Health,Health Outcome,,25460667,Literature,PubMed,,
surrounding greenness,Built Environment,school-wide academic performance,Positive,Cognitive Health;Academic Achievement,Health Outcome,,25310542,Literature,PubMed,,
greenness,Built Environment,birth weight in term born infants,Positive,Pregnancy Outcomes,Health Outcome,,24140704,Literature,PubMed,,
greenness,Built Environment,preterm deliveries,Negative,Pregnancy Outcomes,Health Outcome,,24140704,Literature,PubMed,,
greenness,Built Environment,preeclampsia,Null,Pregnancy Outcomes,Health Outcome,,24140704,Literature,PubMed,,
neighborhood greenness,Built Environment,outdoor playing time,Positive,Pediatric Health;Physical Activity,Health Outcome,,22165919,Literature,PubMed,,
greenness,Built Environment,BMI z-scores,Negative,Obesity,Health Outcome,,19000844,Literature,PubMed,,
greenness,Built Environment,BMI z-score increase,Negative,Obesity,Health Outcome,,19000844,Literature,PubMed,,
Wildfire exposure,Air Quality,Prevalence of physician-dispensed short-acting β-agonist (SABAs),Positive,Respiratory Health,Health Outcome,,25747784,Literature,PubMed,,
Wildfire exposure,Air Quality,Rate of emergency department visits and/or hospitalizations for asthma,Null,Respiratory Health,Health Outcome,,25747784,Literature,PubMed,,
Wildfire exposure,Air Quality,Frequency of oral corticosteroid use for asthma,Null,Respiratory Health,Health Outcome,,25747784,Literature,PubMed,,
Wildfire exposure,Air Quality,Number of new diagnoses of asthma,Null,Respiratory Health,Health Outcome,,25747784,Literature,PubMed,,
wildfire,Other,tree density,Negative,Forest Ecology,Health Outcome,,24147398,Literature,PubMed,,
wildfire,Other,surface fuels,Negative,Forest Ecology,Health Outcome,,24147398,Literature,PubMed,,
wildfire,Other,lodgepole pine establishment,Positive,Forest Ecology,Health Outcome,,24147398,Literature,PubMed,,
tent heaters,Other,multisymptom illness,Positive,Multisymptom Illness,Health Outcome,,11911029,Literature,PubMed,,
temperature,Other,time spent outdoors,Positive,,Health Outcome,,12923556,Literature,PubMed,,
temperature,Other,time spent indoors,Positive,,Health Outcome,,12923556,Literature,PubMed,,
temperature,Other,time spent in-vehicles,Null,,Health Outcome,,12923556,Literature,PubMed,,
PM2.5,Air Quality,ADNC,Positive,Neurological Health,Health Outcome,Autopsy brain tissue,40920417,Literature,PubMed,,
PM2.5,Air Quality,CDR-SB,Positive,Neurological Health,Health Outcome,Autopsy brain tissue,40920417,Literature,PubMed,,
PM2.5,Air Quality,CDR-SB mediated by ADNC,Positive,Neurological Health,Health Outcome,Autopsy brain tissue,40920417,Literature,PubMed,,
O3,Air Quality,nasal expression of CLC,Positive,Asthma;Respiratory Health,Health Outcome,nasal samples;bronchial samples,41430723,Literature,PubMed,,
O3,Air Quality,nasal expression of CPA3,Positive,Asthma;Respiratory Health,Health Outcome,nasal samples;bronchial samples,41430723,Literature,PubMed,,
PM2.5,Air Quality,bronchial expression of TNFRSF10C,Positive,Asthma;Respiratory Health,Health Outcome,nasal samples;bronchial samples,41430723,Literature,PubMed,,
PM2.5,Air Quality,cumulative DNA methylation score for PM2.5,Null,Epigenetics;Pediatric Health,Health Outcome,Saliva,34678958,Literature,PubMed,,
NO2,Air Quality,cord blood DNA methylation,Positive,Children's Environmental Health;Developmental Disorders,Health Outcome,Umbilical cord blood,33465004,Literature,PubMed,,
NO2,Air Quality,cord blood DNA methylation,Positive,Children's Environmental Health;Developmental Disorders,Health Outcome,Umbilical cord blood,33465004,Literature,PubMed,,
PM2.5,Air Quality,LINE-1 methylation,Null,Cardiovascular Disease,Health Outcome,,31822152,Literature,PubMed,,
PM2.5,Air Quality,TLR-2 methylation,Null,Cardiovascular Disease,Health Outcome,,31822152,Literature,PubMed,,
PM2.5,Air Quality,TNF-α methylation,Negative,Cardiovascular Disease,Health Outcome,,31822152,Literature,PubMed,,
PM2.5,Air Quality,overall breast cancer incidence,Positive,Oncology,Health Outcome,,37691174,Literature,PubMed,,
PM2.5,Air Quality,estrogen receptor-positive breast cancer,Positive,Oncology,Health Outcome,,37691174,Literature,PubMed,,
PM2.5,Air Quality,estrogen receptor-negative breast cancer,Null,Oncology,Health Outcome,,37691174,Literature,PubMed,,
PM2.5,Air Quality,sFlt-1/PlGF ratio,Positive,Pregnancy and Birth Outcomes,Health Outcome,Plasma,37556304,Literature,PubMed,,
NO2,Air Quality,sFlt-1/PlGF ratio,Positive,Pregnancy and Birth Outcomes,Health Outcome,Plasma,37556304,Literature,PubMed,,
O3,Air Quality,sFlt-1,Positive,Pregnancy and Birth Outcomes,Health Outcome,Plasma,37556304,Literature,PubMed,,
PM2.5,Air Quality,sFlt-1,Positive,Pregnancy and Birth Outcomes,Health Outcome,Plasma,37556304,Literature,PubMed,,
